TransactionDate,SellerId,Trans_amount
2018-01-31T00:00:00.000Z,13,195587
2018-01-31T00:00:00.000Z,13,87125
2018-01-31T00:00:00.000Z,13,262792
2018-01-31T00:00:00.000Z,13,192724
2018-01-31T00:00:00.000Z,13,251119
2018-01-15T00:00:00.000Z,13,335250
2017-12-31T00:00:00.000Z,13,156250
2018-01-13T00:00:00.000Z,13,181250
2018-01-13T00:00:00.000Z,13,281250
2018-01-13T00:00:00.000Z,13,185125
2018-01-13T00:00:00.000Z,13,271250
2017-09-30T00:00:00.000Z,13,832150
2017-12-31T00:00:00.000Z,13,684394
2018-01-13T00:00:00.000Z,13,414250
2017-12-31T00:00:00.000Z,13,102142
2017-12-31T00:00:00.000Z,13,406980
2017-11-22T00:00:00.000Z,13,62500
2017-12-31T00:00:00.000Z,13,326125
2017-12-31T00:00:00.000Z,13,102002
2017-12-31T00:00:00.000Z,13,132458
2017-12-31T00:00:00.000Z,13,42500
2017-12-31T00:00:00.000Z,13,27094
2017-12-31T00:00:00.000Z,13,210627
2017-12-31T00:00:00.000Z,13,449524
2017-12-15T00:00:00.000Z,13,394050
2017-12-15T00:00:00.000Z,13,198375
2017-11-30T00:00:00.000Z,13,519625
2017-12-15T00:00:00.000Z,13,114525
2017-12-15T00:00:00.000Z,13,125825
2017-12-15T00:00:00.000Z,13,224475
2016-12-31T00:00:00.000Z,13,75000
2017-12-15T00:00:00.000Z,13,55950
2017-12-15T00:00:00.000Z,13,305250
2017-11-30T00:00:00.000Z,13,255255
2017-11-30T00:00:00.000Z,13,146875
2017-11-30T00:00:00.000Z,13,74630
2017-11-30T00:00:00.000Z,13,870719
2017-11-30T00:00:00.000Z,13,30473
2017-11-30T00:00:00.000Z,13,78795
2017-11-30T00:00:00.000Z,13,162057
2017-11-14T00:00:00.000Z,13,166725
2017-11-14T00:00:00.000Z,13,82200
2017-11-15T00:00:00.000Z,13,140550
2017-09-15T00:00:00.000Z,13,239500
2017-11-30T00:00:00.000Z,13,523324
2017-11-14T00:00:00.000Z,13,196525
2017-10-31T00:00:00.000Z,13,773606
2017-10-31T00:00:00.000Z,13,134875
2017-11-14T00:00:00.000Z,13,84000
2017-11-14T00:00:00.000Z,13,46950
2017-10-31T00:00:00.000Z,13,444375
2017-10-31T00:00:00.000Z,13,149855
2017-10-31T00:00:00.000Z,13,200855
2017-07-25T00:00:00.000Z,13,102375
2017-11-14T00:00:00.000Z,13,283725
2017-10-31T00:00:00.000Z,13,109820
2017-10-31T00:00:00.000Z,13,11603
2017-10-31T00:00:00.000Z,13,57375
2017-10-31T00:00:00.000Z,13,329800
2017-10-18T00:00:00.000Z,13,217070
2017-10-18T00:00:00.000Z,13,72900
2017-10-20T00:00:00.000Z,13,208500
2017-10-31T00:00:00.000Z,13,343294
2017-10-18T00:00:00.000Z,13,193950
2017-10-18T00:00:00.000Z,13,272700
2017-03-31T00:00:00.000Z,13,198950
2017-10-18T00:00:00.000Z,13,81750
2017-09-15T00:00:00.000Z,13,34095
2017-10-18T00:00:00.000Z,13,410580
2017-09-30T00:00:00.000Z,13,228905
2017-09-30T00:00:00.000Z,13,8500
2017-09-30T00:00:00.000Z,13,43669
2017-09-30T00:00:00.000Z,13,109905
2017-09-30T00:00:00.000Z,13,265370
2017-09-30T00:00:00.000Z,13,336409
2017-09-30T00:00:00.000Z,13,195075
2017-09-15T00:00:00.000Z,13,110675
2017-09-15T00:00:00.000Z,13,46875
2017-08-31T00:00:00.000Z,13,66750
2017-09-15T00:00:00.000Z,13,119700
2017-09-15T00:00:00.000Z,13,53475
2017-09-15T00:00:00.000Z,13,92025
2017-09-15T00:00:00.000Z,13,257250
2017-05-23T00:00:00.000Z,13,20400
2017-08-30T00:00:00.000Z,13,466438
2017-07-28T00:00:00.000Z,13,248400
2017-08-30T00:00:00.000Z,13,261690
2017-08-30T00:00:00.000Z,13,116195
2017-08-29T00:00:00.000Z,13,179595
2017-08-29T00:00:00.000Z,13,122625
2017-08-30T00:00:00.000Z,13,388875
2017-08-30T00:00:00.000Z,13,66300
2017-08-30T00:00:00.000Z,13,26584
2017-08-16T00:00:00.000Z,13,44700
2017-08-30T00:00:00.000Z,13,514265
2017-08-22T00:00:00.000Z,13,71025
2017-08-28T00:00:00.000Z,13,175350
2017-07-28T00:00:00.000Z,13,106350
2017-07-31T00:00:00.000Z,13,202445
2017-07-31T00:00:00.000Z,13,264669
2017-07-31T00:00:00.000Z,13,33278
2017-07-31T00:00:00.000Z,13,18169
2017-07-31T00:00:00.000Z,13,30600
2017-07-31T00:00:00.000Z,13,13005
2017-07-28T00:00:00.000Z,13,176705
2017-07-25T00:00:00.000Z,13,200250
2017-07-31T00:00:00.000Z,13,332180
2017-07-31T00:00:00.000Z,13,128605
2017-07-31T00:00:00.000Z,13,218790
2017-07-28T00:00:00.000Z,13,29250
2017-07-28T00:00:00.000Z,13,128400
2017-07-28T00:00:00.000Z,13,95175
2017-06-16T00:00:00.000Z,13,276100
2017-06-30T00:00:00.000Z,13,492469
2017-06-30T00:00:00.000Z,13,90355
2017-06-30T00:00:00.000Z,13,74970
2017-06-30T00:00:00.000Z,13,109841
2017-06-30T00:00:00.000Z,13,51128
2017-06-30T00:00:00.000Z,13,74630
2017-06-30T00:00:00.000Z,13,299030
2017-06-30T00:00:00.000Z,13,31650
2017-05-26T00:00:00.000Z,13,354900
2017-04-13T00:00:00.000Z,13,21600
2017-06-30T00:00:00.000Z,13,27625
2017-06-30T00:00:00.000Z,13,387409
2017-06-21T00:00:00.000Z,13,147975
2017-06-16T00:00:00.000Z,13,236700
2017-06-15T00:00:00.000Z,13,97875
2017-06-15T00:00:00.000Z,13,178925
2017-05-31T00:00:00.000Z,13,242569
2017-05-15T00:00:00.000Z,13,133725
2017-06-15T00:00:00.000Z,13,113775
2017-05-19T00:00:00.000Z,13,46275
2017-05-31T00:00:00.000Z,13,135150
2017-05-31T00:00:00.000Z,13,26775
2017-05-31T00:00:00.000Z,13,64069
2017-05-31T00:00:00.000Z,13,6375
2017-05-31T00:00:00.000Z,13,160820
2017-05-31T00:00:00.000Z,13,196265
2017-05-19T00:00:00.000Z,13,104775
2017-05-31T00:00:00.000Z,13,211905
2017-05-23T00:00:00.000Z,13,31725
2017-05-23T00:00:00.000Z,13,73500
2017-04-25T00:00:00.000Z,13,687500
2017-03-29T00:00:00.000Z,13,356100
2017-05-19T00:00:00.000Z,13,61875
2017-04-30T00:00:00.000Z,13,311100
2017-04-30T00:00:00.000Z,13,30320
2017-04-30T00:00:00.000Z,13,61519
2016-10-20T00:00:00.000Z,13,135225
2017-04-19T00:00:00.000Z,13,64275
2017-04-30T00:00:00.000Z,13,49895
2017-04-30T00:00:00.000Z,13,9563
2017-04-30T00:00:00.000Z,13,179920
2017-02-28T00:00:00.000Z,13,148350
2017-02-16T00:00:00.000Z,13,122025
2017-04-30T00:00:00.000Z,13,334231
2017-04-30T00:00:00.000Z,13,80540
2017-04-30T00:00:00.000Z,13,52725
2017-04-30T00:00:00.000Z,13,73050
2017-04-19T00:00:00.000Z,13,75825
2017-04-19T00:00:00.000Z,13,198450
2017-03-31T00:00:00.000Z,13,119706
2017-03-21T00:00:00.000Z,13,88275
2017-02-28T00:00:00.000Z,13,129300
2017-04-15T00:00:00.000Z,13,200000
2017-03-31T00:00:00.000Z,13,198750
2017-03-31T00:00:00.000Z,13,16448
2017-03-31T00:00:00.000Z,13,44625
2017-03-31T00:00:00.000Z,13,182181
2017-03-31T00:00:00.000Z,13,301640
2017-03-31T00:00:00.000Z,13,175807
2017-02-28T00:00:00.000Z,13,334050
2017-02-28T00:00:00.000Z,13,149230
2017-02-28T00:00:00.000Z,13,97070
2017-02-28T00:00:00.000Z,13,53550
2017-02-28T00:00:00.000Z,13,59415
2017-03-21T00:00:00.000Z,13,161175
2017-03-15T00:00:00.000Z,13,200000
2017-01-30T00:00:00.000Z,13,261600
2017-02-28T00:00:00.000Z,13,282305
2017-02-28T00:00:00.000Z,13,227175
